cos_lo,cos_ctr,cos_hi,group_id,obs_pb,pred_sm,pred_geo,delta,ratio_geo_sm
-0.9,-0.81,-0.72,0,1.5,1.8475395835583455,1.8475395835583455,-0.0,1.0
-0.72,-0.63,-0.54,0,1.8,1.9178264155415445,1.9178264155415445,-0.0,1.0
-0.54,-0.45,-0.36,0,2.0,2.326996187443731,2.326996187443731,-0.0,1.0
-0.36,-0.27,-0.18,0,2.5,2.773819619336919,2.773819619336919,-0.0,1.0
-0.18,-0.09,0.0,0,3.9,4.056554303030281,4.056554303030281,-0.0,1.0
0.0,0.045,0.09,0,5.1,5.552659726672638,5.552659726672638,-0.0,1.0
0.09,0.135,0.18,0,6.2,6.938314414341398,6.938314414341398,-0.0,1.0
0.18,0.225,0.27,0,9.7,9.187493037803728,9.187493037803728,-0.0,1.0
0.27,0.315,0.36,0,10.0,12.897633668916827,12.897633668916827,-0.0,1.0
0.36,0.405,0.45,0,15.6,19.22846903540343,19.22846903540343,-0.0,1.0
0.45,0.495,0.54,0,28.8,29.073646001049944,29.073646001049944,-0.0,1.0
0.54,0.585,0.63,0,48.4,47.33818134068383,47.33818134068383,-0.0,1.0
0.63,0.675,0.72,0,87.1,87.85351949099865,87.85351949099865,-0.0,1.0
0.72,0.765,0.81,0,194.0,193.73561138568735,193.73561138568735,-0.0,1.0
0.81,0.855,0.9,0,606.0,566.4465994405913,566.4465994405913,-0.0,1.0
-0.9,-0.81,-0.72,1,2.2,1.8770322737756446,1.8770322737756446,-0.0,1.0
-0.72,-0.63,-0.54,1,1.3,1.918908321878252,1.918908321878252,-0.0,1.0
-0.54,-0.45,-0.36,1,2.8,2.2218938463853433,2.2218938463853433,-0.0,1.0
-0.36,-0.27,-0.18,1,3.8,2.6948468602500735,2.6948468602500735,-0.0,1.0
-0.18,-0.09,0.0,1,2.2,3.803330486495534,3.803330486495534,-0.0,1.0
0.0,0.045,0.09,1,5.0,5.527638349544026,5.527638349544026,-0.0,1.0
0.09,0.135,0.18,1,8.2,6.788846386516638,6.788846386516638,-0.0,1.0
0.18,0.225,0.27,1,8.9,9.3802347749838,9.3802347749838,-0.0,1.0
0.27,0.315,0.36,1,10.8,12.87318984613061,12.87318984613061,-0.0,1.0
0.36,0.405,0.45,1,14.6,18.711203611023357,18.711203611023357,-0.0,1.0
0.45,0.495,0.54,1,24.5,27.46083436752084,27.46083436752084,-0.0,1.0
0.54,0.585,0.63,1,45.4,47.23618225973988,47.23618225973988,-0.0,1.0
0.63,0.675,0.72,1,84.4,87.08247367784335,87.08247367784335,-0.0,1.0
0.72,0.765,0.81,1,184.0,188.94965563285365,188.94965563285365,-0.0,1.0
0.81,0.855,0.9,1,606.0,556.2764964011272,556.2764964011272,-0.0,1.0
-0.9,-0.81,-0.72,2,0.8,1.7133890533269405,1.7133890533269405,-0.0,1.0
-0.72,-0.63,-0.54,2,1.7,1.6593315111780806,1.6593315111780806,-0.0,1.0
-0.54,-0.45,-0.36,2,2.3,2.1740533255520162,2.1740533255520162,-0.0,1.0
-0.36,-0.27,-0.18,2,2.3,2.6370679256966088,2.6370679256966088,-0.0,1.0
-0.18,-0.09,0.0,2,3.8,3.65711024276642,3.65711024276642,-0.0,1.0
0.0,0.045,0.09,2,5.7,4.930987975143926,4.930987975143926,-0.0,1.0
0.09,0.135,0.18,2,6.9,6.4163952202778445,6.4163952202778445,-0.0,1.0
0.18,0.225,0.27,2,7.2,8.57869690623228,8.57869690623228,-0.0,1.0
0.27,0.315,0.36,2,11.2,11.62942254576366,11.62942254576366,-0.0,1.0
0.36,0.405,0.45,2,14.2,17.147992500786497,17.147992500786497,-0.0,1.0
0.45,0.495,0.54,2,27.2,27.531741249206835,27.531741249206835,-0.0,1.0
0.54,0.585,0.63,2,43.8,44.0122406208509,44.0122406208509,-0.0,1.0
0.63,0.675,0.72,2,79.0,82.9477729355479,82.9477729355479,-0.0,1.0
0.72,0.765,0.81,2,173.0,181.15857538043048,181.15857538043048,-0.0,1.0
0.81,0.855,0.9,2,578.0,532.0954383549971,532.0954383549971,-0.0,1.0
-0.9,-0.81,-0.72,3,1.4,1.691658211258477,1.691658211258477,-0.0,1.0
-0.72,-0.63,-0.54,3,1.7,1.6939723811781209,1.6939723811781209,-0.0,1.0
-0.54,-0.45,-0.36,3,1.7,2.054982888642309,2.054982888642309,-0.0,1.0
-0.36,-0.27,-0.18,3,2.8,2.7122071458207064,2.7122071458207064,-0.0,1.0
-0.18,-0.09,0.0,3,2.8,3.533737467293702,3.533737467293702,-0.0,1.0
0.0,0.045,0.09,3,3.9,5.0402620849808,5.0402620849808,-0.0,1.0
0.09,0.135,0.18,3,6.4,6.1140369276948,6.1140369276948,-0.0,1.0
0.18,0.225,0.27,3,7.4,8.159763136658539,8.159763136658539,-0.0,1.0
0.27,0.315,0.36,3,11.9,12.056825281336078,12.056825281336078,-0.0,1.0
0.36,0.405,0.45,3,17.1,16.916582112584774,16.916582112584774,-0.0,1.0
0.45,0.495,0.54,3,25.1,26.733290911707154,26.733290911707154,-0.0,1.0
0.54,0.585,0.63,3,41.9,45.25127860868438,45.25127860868438,-0.0,1.0
0.63,0.675,0.72,3,77.3,81.26439089815696,81.26439089815696,-0.0,1.0
0.72,0.765,0.81,3,174.0,178.038348597756,178.038348597756,-0.0,1.0
0.81,0.855,0.9,3,565.0,522.7200731089501,522.7200731089501,-0.0,1.0
