sqrts_GeV,t,F_re,F_im,sigma_tot_pred_mb,rho_pred,chiI_min,chiI_max,S_abs_max,sigma_tot_data_mb,sigma_tot_resid_mb
13000.0,18.945409272887346,4.486760422658404,107.81099881998188,107.81099881998188,0.0416169080313429,0.0015146548062557226,3.587599379573908,0.9984864917044063,110.5,2.689001180018124
13000.0,18.945409272887346,4.486760422658404,107.81099881998188,107.81099881998188,0.0416169080313429,0.0015146548062557226,3.587599379573908,0.9984864917044063,104.7,-3.110998819981873
8000.0,17.974393641323946,4.374243237628653,103.64554492187168,103.64554492187168,0.04220387128965331,0.0011683758041553798,3.5312722155761764,0.9988323064811068,101.7,-1.9455449218716723
8000.0,17.974393641323946,4.374243237628653,103.64554492187168,103.64554492187168,0.04220387128965331,0.0011683758041553798,3.5312722155761764,0.9988323064811068,96.07,-7.575544921871682
7000.0,17.7073308560749,4.349345794896972,102.48646418409608,102.48646418409608,0.042438246157895126,0.0010850329379027848,3.513972443443507,0.9989155554974922,98.0,-4.486464184096079
7000.0,17.7073308560749,4.349345794896972,102.48646418409608,102.48646418409608,0.042438246157895126,0.0010850329379027848,3.513972443443507,0.9989155554974922,95.35,-7.136464184096084
2760.0,15.845971917422391,4.130884095430623,92.55334133649333,92.55334133649333,0.044632468539543,0.0005994551352063266,3.2704857858783547,0.9994007245021266,84.7,-7.8533413364933295
2760.0,15.845971917422391,4.130884095430623,92.55334133649333,92.55334133649333,0.044632468539543,0.0005994551352063266,3.2704857858783547,0.9994007245021266,85.6,-6.953341336493338
1960.0,15.161399504449125,4.003095034229229,88.1646363333622,88.1646363333622,0.04540476999295948,0.00046351789869424385,3.1341322296904903,0.9995365895091312,78.6,-9.564636333362202
1800.0,14.991083887768513,3.9675123828303716,87.06299047847476,87.06299047847476,0.04557059619737378,0.00043366629905443793,3.0996256386756613,0.9995664277205835,80.03,-7.032990478474758
1800.0,14.991083887768513,3.9675123828303716,87.06299047847476,87.06299047847476,0.04557059619737378,0.00043366629905443793,3.0996256386756613,0.9995664277205835,71.71,-15.352990478474766
1800.0,14.991083887768513,3.9675123828303716,87.06299047847476,87.06299047847476,0.04557059619737378,0.00043366629905443793,3.0996256386756613,0.9995664277205835,72.8,-14.262990478474762
900.0,13.604789526648622,3.664422522393735,78.80292037996686,78.80292037996686,0.0465011005267934,0.00024742199227577386,2.859299277065065,0.999752608614021,65.3,-13.502920379966866
546.0,12.60523795148981,3.4870768397703817,74.11059425838717,74.11059425838717,0.047052339475415095,0.00016421215463815304,2.7551968256439303,0.9998358013274398,61.26,-12.850594258387169
546.0,12.60523795148981,3.4870768397703817,74.11059425838717,74.11059425838717,0.047052339475415095,0.00016421215463815304,2.7551968256439303,0.9998358013274398,61.9,-12.210594258387168
200.0,10.596634733096073,3.242925314641113,65.59969204109625,65.59969204109625,0.04943506918614065,6.76302278516451e-05,2.578191410788952,0.9999323720590206,41.6,-23.999692041096246
62.5,8.270333113484712,2.817338866672212,53.058961949551986,53.058961949551986,0.05309826583774696,1.7870758979362293e-05,2.1787995398029962,0.9999821294007017,43.55,-9.508961949551988
62.3,8.263922851586814,2.8159148132829657,53.02426480597465,53.02426480597465,0.053106154768706476,1.779699687289975e-05,2.177654621908945,0.9999822031614927,44.0,-9.024264805974653
52.8,7.933022381424432,2.742692741176614,51.269770208772805,51.269770208772805,0.05349531956176605,1.4339272947113975e-05,2.120395328492843,0.9999856608298597,42.38,-8.889770208772802
44.7,7.599947003239047,2.670828588625787,49.58808798853234,49.58808798853234,0.05386028574530719,1.1484445695904156e-05,2.0670215879660794,0.99998851562025,41.8,-7.7880879885323395
30.6,6.8420000179166705,2.5229028868539474,46.11630675874309,46.11630675874309,0.05470739233417983,6.830887840597449e-06,1.9630620148792641,0.9999931691354899,40.15,-5.9663067587430945
23.5,6.314000842300227,2.4367826668828254,43.95182245233429,43.95182245233429,0.05544213028994449,4.7009377315445e-06,1.9021693145531635,0.9999952990733179,39.1,-4.851822452334289
