target_label,target_mz_nominal,window_ppm,source,n_points,n_scans,rebuilt_mz_weighted,ppm_shift_from_nominal
T01,1359.8,30.0,ModeA_points,2079,314,1359.8014120746163,1.0384428712918055
T01,1359.8,30.0,ALL,2079,314,1359.8014120746163,1.0384428712918055
T02,1359.47,30.0,ModeA_points,2069,320,1359.4683021868375,-1.248878726662947
T02,1359.47,30.0,ALL,2069,320,1359.4683021868375,-1.248878726662947
T03,1359.59,30.0,ModeA_points,2066,314,1359.5761874211696,-10.159370714929793
T03,1359.59,30.0,ALL,2066,314,1359.5761874211696,-10.159370714929793
T04,1359.68,30.0,ModeA_points,1885,316,1359.693640591063,10.032206889117031
T04,1359.68,30.0,ALL,1885,316,1359.693640591063,10.032206889117031
T05,816.22,30.0,ModeA_points,3957,528,816.2179591887738,-2.5003200439412896
T05,816.22,30.0,ALL,3957,528,816.2179591887738,-2.5003200439412896
T06,874.45,30.0,ModeA_points,2173,316,874.4459950022319,-4.580019175603496
T06,874.45,30.0,ALL,2173,316,874.4459950022319,-4.580019175603496
T07,874.37,30.0,ModeA_points,1973,315,874.3736148839217,4.1342725868083265
T07,874.37,30.0,ALL,1973,315,874.3736148839217,4.1342725868083265
T08,816.28,30.0,ModeA_points,2098,317,816.2846386253631,5.682639980276242
T08,816.28,30.0,ALL,2098,317,816.2846386253631,5.682639980276242
T09,816.15,30.0,ModeA_points,2177,316,816.150905794617,1.1098384083602986
T09,816.15,30.0,ALL,2177,316,816.150905794617,1.1098384083602986
T10,1359.91,30.0,ModeA_points,1974,315,1359.9123871042475,1.7553398735345664
T10,1359.91,30.0,ALL,1974,315,1359.9123871042475,1.7553398735345664
T11,1529.53,30.0,ModeA_points,2191,337,1529.5289822320071,-0.6654122461375103
T11,1529.53,30.0,ALL,2191,337,1529.5289822320071,-0.6654122461375103
T12,816.35,30.0,ModeA_points,2197,308,816.3505774368784,0.7073398400391226
T12,816.35,30.0,ALL,2197,308,816.3505774368784,0.7073398400391226
