channel,i,E_lo,E_hi,E_ctr,obs,pred_sm,pred_geo,bkg,P_sm,P_geo,dphi,dphi_base,dphi_breath,dphi_thread,thread_weight,thread_amp,thread_phase,breath_amp,breath_phase,k_rt,kappa_gate,eta,omega
MINOS_dis_FHC,0,0.0,1.0,0.5,35.0,39.7,40.196749048840715,1.5,0.0031510773562207772,0.0031920536567319334,-0.00036438287605537463,0.0012997222017639678,-0.00034800449289687903,-0.0013161005849224635,1.0,3.251496684555001,-2.3425964009777616,2.0398535789629935,-2.023653261084305,180.0,0.0,0.0,0.004274275719169786
MINOS_dis_FHC,1,1.0,1.5,1.25,82.0,90.5,90.88868153951667,2.0,0.08269924613992441,0.08306245145412253,-0.0006586921221001006,0.002349497826265634,-0.0006290850448520505,-0.002379104903513684,1.0,3.251496684555001,-2.3425964009777616,2.0398535789629935,-2.023653261084305,180.0,0.0,0.0,0.004274275719169786
MINOS_dis_FHC,2,1.5,2.0,1.75,65.0,69.6,70.07566363356774,1.5,0.05670881969848063,0.05710491842437075,-0.0008548982861299168,0.003049348242600078,-0.0008164720794888315,-0.0030877744492411635,1.0,3.251496684555001,-2.3425964009777616,2.0398535789629935,-2.023653261084305,180.0,0.0,0.0,0.004274275719169786
MINOS_dis_FHC,3,2.0,2.5,2.25,102.0,109.60000000000001,109.9837816450827,1.2,0.2608855228229453,0.2618091674274402,-0.0010511044501597348,0.003749198658934522,-0.0010038591141256123,-0.0037964439949686444,1.0,3.251496684555001,-2.3425964009777616,2.0398535789629935,-2.023653261084305,180.0,0.0,0.0,0.004274275719169786
MINOS_dis_FHC,4,2.5,3.0,2.75,148.0,156.2,156.63776702938193,1.0,0.43896441101951456,0.44020258206472335,-0.0012473106141895505,0.004449049075268966,-0.0011912461487623932,-0.004505113540696123,1.0,3.251496684555001,-2.3425964009777616,2.0398535789629935,-2.023653261084305,180.0,0.0,0.0,0.004274275719169786
MINOS_dis_FHC,5,3.0,4.0,3.5,325.0,338.8,339.6171722347684,0.8,0.6190680684508663,0.6205647703353921,-0.0015416198602342772,0.005498824699770632,-0.0014723267007175648,-0.0055681178592873444,1.0,3.251496684555001,-2.3425964009777616,2.0398535789629935,-2.023653261084305,180.0,0.0,0.0,0.004274275719169786
MINOS_dis_FHC,6,4.0,5.0,4.5,290.0,299.2,299.8562892247114,0.7,0.7553847699173472,0.7570455769022981,-0.0019340321882939104,0.006898525532439521,-0.0018471007699911268,-0.006985456950742305,1.0,3.251496684555001,-2.3425964009777616,2.0398535789629935,-2.023653261084305,180.0,0.0,0.0,0.004274275719169786
MINOS_dis_FHC,7,5.0,6.0,5.5,210.0,216.1,216.54997562813776,1.0,0.831271946827495,0.8330109152906608,-0.002326444516353547,0.00829822636510841,-0.0022218748392646894,-0.008402796042197267,1.0,3.251496684555001,-2.3425964009777616,2.0398535789629935,-2.023653261084305,180.0,0.0,0.0,0.004274275719169786
MINOS_dis_FHC,8,6.0,8.0,7.0,160.0,166.3,166.6318483645068,0.9,0.8934043938655446,0.8951968653706682,-0.0029150630084429953,0.010397777614111741,-0.002784035943175032,-0.010528804679379705,1.0,3.251496684555001,-2.3425964009777616,2.0398535789629935,-2.023653261084305,180.0,0.0,0.0,0.004274275719169786
MINOS_dis_FHC,9,8.0,10.0,9.0,110.0,113.1,113.318455984755,0.8,0.9345643709271813,0.9363823689678566,-0.003699887664562262,0.013197179279449519,-0.0035335840817221553,-0.013363482862289625,1.0,3.251496684555001,-2.3425964009777616,2.0398535789629935,-2.023653261084305,180.0,0.0,0.0,0.004274275719169786
