split,start_idx,end_idx,trials_valid,dropped_invalid,N_pp_ab,N_p0_abp,N_0p_apb,N_pp_apbp,J,J_per_1M_valid
0,0,10710959,10710959,0,407,209,182,8,8,0.746898573694475
1,10710959,21421919,10710960,0,395,174,186,3,32,2.987594015849186
2,21421919,32132878,10710959,0,431,183,198,3,47,4.38802912045504
3,32132878,42843838,10710960,0,394,162,187,5,40,3.7344925198114827
4,42843838,53554798,10710960,0,397,171,196,4,26,2.427420137877464
5,53554798,64265757,10710959,0,435,174,171,6,84,7.842435023791987
6,64265757,74976717,10710960,0,376,191,203,7,-25,-2.334057824882177
7,74976717,85687676,7865435,2845524,169,75,202,234,-342,-43.481384055681595
8,85687676,96398636,8555233,2155727,239,116,206,188,-271,-31.676518921226343
9,96398636,107109596,10710960,0,363,170,229,4,-40,-3.7344925198114827
