sqrts_GeV,sigma_mb,err_mb,channel,sigma_sm_mb,sigma_geo_mb,resid_sm,resid_geo,env_scale
13000.0,110.5,2.4,pp,108.1990015221406,108.1990015221406,0.9587493657747478,0.9587493657747478,0.0
13000.0,104.7,1.1,pp,108.1990015221406,108.1990015221406,-3.180910474673275,-3.180910474673275,0.0
8000.0,101.7,2.9,pp,99.54753508475527,99.54753508475527,0.7422292811188742,0.7422292811188742,0.0
8000.0,96.07,0.92,pp,99.54753508475527,99.54753508475527,-3.779929439951385,-3.779929439951385,0.0
7000.0,98.0,2.5,pp,97.26251266152357,97.26251266152357,0.29499493539057087,0.29499493539057087,0.0
7000.0,95.35,1.36,pp,97.26251266152357,97.26251266152357,-1.4062593099438077,-1.4062593099438077,0.0
2760.0,84.7,3.3,pp,82.47161895823221,82.47161895823221,0.6752669823538757,0.6752669823538757,0.0
2760.0,85.6,1.4,pp,82.47161895823221,82.47161895823221,2.2345578869769867,2.2345578869769867,0.0
200.0,41.6,1.2,pp,51.65535515542256,51.65535515542256,-8.379462629518802,-8.379462629518802,0.0
62.5,43.55,0.31,pp,43.44090408086967,43.44090408086967,0.3519223197752438,0.3519223197752438,0.0
62.3,44.0,0.9,pp,43.42328433839427,43.42328433839427,0.6407951795619246,0.6407951795619246,0.0
52.8,42.38,0.15,pp,42.55282709607714,42.55282709607714,-1.1521806405142363,-1.1521806405142363,0.0
44.7,41.8,0.25,pp,41.755013924886704,41.755013924886704,0.17994430045317245,0.17994430045317245,0.0
30.6,40.15,0.2,pp,40.24015515792823,40.24015515792823,-0.45077578964114906,-0.45077578964114906,0.0
23.5,39.1,0.25,pp,39.4389186581022,39.4389186581022,-1.3556746324088067,-1.3556746324088067,0.0
